,리쿠르팅 현황_CN8 런칭클리닉,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,no.,성별,나이,현 보유차,"보유차 
엔진타입",결혼여부,자녀 수,직업,"최종 비교차 
브랜드","최종 비교차 
모델",그룹 구분,그룹 구분 상세,"구매희망 
엔진타입 1순위","구매희망 
엔진타입 2순위","향후 구매 의향 
전기차 1순위 브랜드","향후 구매 의향 
전기차 1순위 모델","향후 구매 의향 
전기차 2순위 브랜드","향후 구매 의향 
전기차 2순위 모델","복수 보유차 
,57,남,52,셀토스,가솔린,기혼 유자녀(8세~18세 이하),1,자영업,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),PHEV,EV,BYD,돌핀,현대 ,아이오닉5,스포티지
,73,남,26,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,HEV,,,,,없음
,74,남,49,아반떼,가솔린,기혼 유자녀(8세~18세 이하),2,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),HEV,가솔린,,,,,없음
,75,남,47,아반떼,가솔린,기혼 유자녀(8세~18세 이하),2,프리랜서,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),PHEV,EV,BYD,돌핀,현대,아이오닉5,카니발
,78,여,39,없음,_,기혼 유자녀(8세~18세 이하),2,전업주부,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,EV,테슬라,모델 3,,,싼타페
,80,여,37,없음,_,기혼 무자녀,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),EV,HEV,테슬라,모델 3,기아,EV3,없음
,85,남,51,아반떼,가솔린,기혼 무자녀,_,자영업,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,LPG,,,,,카니발
,99,남,46,코나,가솔린,기혼 유자녀(8세~18세 이하),1,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,EV,현대 ,아이오닉6,기아,EV3,투싼
,105,남,28,아반떼,가솔린,미혼,_,"자영업
(인테리어)",_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,PHEV,,,,,
,109,남,32,아반떼,,미혼,_,"사무직
(중권사)",_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,HEV,,,,,
,142,남,28,아반떼,가솔린,미혼,_,기술직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),HEV,가솔린,,,,,QM6
,163,남,50,아반떼,가솔린,기혼 유자녀(8세~18세 이하),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,없음
,301,남,61,쏘나타,가솔린,기혼(성인 자녀),2,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,EV,기아,EV3,테슬라,모델 3,없음
,302,남,56,셀토스,가솔린,기혼(성인 자녀),1,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,기아,EV3,,,
,303,남,49,아반떼,가솔린,기혼 유자녀(8세~18세 이하),1,영업직,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),가솔린,EV,기아,EV3,현대 ,아이오닉,"테슬라
모델Y"
,304,남,35,코나,HEV,기혼 무자녀,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),EV,HEV,기아,EV3,테슬라,"테슬라
모델Y","테슬라
모델3"
,305,남,57,쏘나타,가솔린,기혼(성인 자녀),1,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,EV,현대 ,아이오닉,기아,EV3,그랜저
,306,여,43,셀토스,가솔린,미혼,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,EV,기아,EV3,,,없음
,307,남,56,투싼,가솔린,기혼 유자녀(8세~18세 이하),2,도면설계,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),EV,HEV,기아,EV3,현대 ,아이오닉6,없음
,308,여,52,스포티지,가솔린,기혼 유자녀(8세~18세 이하),2,전업주부,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,EV,테슬라,모델 3,현대 ,아이오닉5,볼보
,500,여,62,쏘나타,가솔린,기혼(성인 자녀),2,전업주부,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),EV,디젤,기아,EV3,테슬라,모델 3,쏘렌토
,310,남,37,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,EV,기아,니로EV,현대 ,코나EV,K7
,311,여,27,없음,_,미혼,_,간호사,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),HEV,가솔린,,,,,SM5
,312,남,44,K5,가솔린,미혼,_,자영업,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,EV,테슬라,모델 ,기아,EV6,없음
,313,남,30,아반떼,가솔린,미혼,_,"사무직
(기계체조)",_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,HEV,,,,,
,314,여,57,아반떼,가솔린,기혼(성인 자녀),2,전업주부,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),HEV,가솔린,,,,,
,316,여,61,쏘나타,HEV,기혼(성인 자녀),1,전업주부,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,PHEV,,,,,없음
,317,남,43,아반떼,가솔린,기혼 유자녀(7세 이하),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,EV,기아,EV3,,,싼타페
,318,여,57,쏘나타,가솔린,기혼(성인 자녀),1,전업주부,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,없음
,319,여,36,없음,_,기혼 유자녀(7세 이하),1,교육강사,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),HEV,PHEV,,,,,없음
,320,여,64,아반떼,가솔린,기혼(성인 자녀),1,서비스직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,벤츠E
,321,남,28,없음,_,미혼,_,사무직(it),_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린,HEV,,,,,
,322,남,56,쏘나타,가솔린,기혼(성인 자녀),1,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,
,324,여,30,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,325,남,31,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,326,여,29,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,327,여,27,없음,_,미혼,_,공무원,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,328,남,31,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,329,남,31,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,HEV,,,,,
,330,남,51,투싼,HEV,기혼 유자녀(8세~18세 이하),2,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),EV,HEV,기아,EV3,현대 ,아이오닉5, 코나EV
,332,남,32,아반떼,HEV,기혼 유자녀(7세 이하),2,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,팰리세이드
,333,남,32,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,EV,기아,EV3,,,없음
,334,여,58,아반떼,가솔린,기혼(성인 자녀),3,프리랜서 ,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,EV,현대 ,아이오닉,BYD,씰,없음
,336,남,43,아반떼,HEV,기혼 유자녀(7세 이하),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,그랑콜레오스
,337,남,48,아반떼,HEV,기혼 무자녀,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,EV,테슬라,모델 S,기아,EV6,
,338,남,27,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린 ,HEV,,,,,그랜져
,339,남,34,아반떼,가솔린,기혼 무자녀,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,HEV,,,,,
,340,남,30,아반떼,가솔린,기혼 유자녀(7세 이하),1,기술직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,없음
,341,여,36,셀토스,가솔린,미혼,_,교육직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),EV,HEV,기아,EV3,테슬라,모델 3,볼보
,342,여,25,아반떼,가솔린,미혼,_,학생,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),가솔린,HEV,,,,,
,343,남,54,투싼,가솔린,기혼 유자녀(8세~18세 이하),2,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),가솔린,HEV,,,,,
,344,남,35,없음,_,미혼,_,프리랜서,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),HEV,가솔린,,,,,없음
,345,여,29,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,가솔린,,,,,소나타
,346,남,31,없음,_,미혼,_,자영업,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,EV,현대,캐스퍼 일렉트릭,현대 ,아이오닉,그랜져
,347,남,27,아반떼,가솔린,미혼,_,"기술직
(수질환경기사)",_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,
