[응답자 특성],,,,,,,,,,,,,,,,
,,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,
,,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세
,,,,,,,,,,,,,,,,
Q5-1. 현사용 비오템 제품 개수_[스킨 케어],,,,,,,,,,,,,,,,
,전체,고객 타입,사용자*연령1,,사용자*연령2,,,,,,,,,,,
,,사용자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,,,,,,,,
Base for %,(150),(150),(79),(71),(30),(49),(48),(23),,,,,,,,
1.00,28.7,28.7,35.4,21.1,40.0,32.7,16.7,30.4,,,,,,,,
2.00,36.7,36.7,34.2,39.4,40.0,30.6,37.5,43.5,,,,,,,,
3.00,20.0,20.0,15.2,25.4,16.7,14.3,29.2,17.4,,,,,,,,
4.00,6.0,6.0,6.3,5.6,,10.2,6.3,4.3,,,,,,,,
5.00,6.0,6.0,5.1,7.0,3.3,6.1,10.4,,,,,,,,,
6.00,1.3,1.3,2.5,,,4.1,,,,,,,,,,
8.00,0.7,0.7,,1.4,,,,4.3,,,,,,,,
10.00,0.7,0.7,1.3,,,2.0,,,,,,,,,,
      계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
[평균:개],2.36,2.36,2.28,2.45,1.87,2.53,2.56,2.22,,,,,,,,
,,,,,,,,,,,,,,,,
Q5-1. 현사용 비오템 제품 개수_[메이크업],,,,,,,,,,,,,,,,
,전체,고객 타입,사용자*연령1,,사용자*연령2,,,,,,,,,,,
,,사용자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,,,,,,,,
Base for %,(150),(150),(79),(71),(30),(49),(48),(23),,,,,,,,
.00,64.7,64.7,67.1,62.0,70.0,65.3,60.4,65.2,,,,,,,,
1.00,18.7,18.7,16.5,21.1,13.3,18.4,18.8,26.1,,,,,,,,
2.00,8.7,8.7,5.1,12.7,10.0,2.0,16.7,4.3,,,,,,,,
3.00,2.0,2.0,2.5,1.4,3.3,2.0,2.1,,,,,,,,,
4.00,2.0,2.0,3.8,,3.3,4.1,,,,,,,,,,
5.00,0.7,0.7,1.3,,,2.0,,,,,,,,,,
6.00,2.0,2.0,2.5,1.4,,4.1,2.1,,,,,,,,,
9.00,0.7,0.7,,1.4,,,,4.3,,,,,,,,
10.00,0.7,0.7,1.3,,,2.0,,,,,,,,,,
      계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
[평균:개],.78,.78,.84,.72,.57,1.00,.71,.74,,,,,,,,
,,,,,,,,,,,,,,,,
Q5-1. 현사용 비오템 제품 개수_[바디],,,,,,,,,,,,,,,,
